ordernumber,sales_channel,deliverydate,currencycode,order_quantity,discount_applied,unit_price,unit_cost,product_name,customer_names,discount_amount,net_price,profit
SO - 000101,In-Store,2018-06-19,USD,5,0.075,1963.1,1001.181,Dining Furniture,Rochester Ltd,147.2325,9079.3375,4073.432499999999
SO - 0005671,Distributor,2020-04-02,USD,2,0.1,1319.9,1042.7210000000002,Dining Furniture,Rochester Ltd,131.99,2375.82,290.3779999999997
SO - 000544,Distributor,2018-08-13,USD,3,0.075,3725.2,2048.86,Wreaths,Rochester Ltd,279.39,10337.43,4190.85
SO - 000692,Wholesale,2018-08-21,USD,7,0.4,3731.9,2276.459,Wreaths,Rochester Ltd,1492.7600000000002,15673.98,-261.2330000000002
SO - 0001204,Wholesale,2018-11-04,USD,1,0.05,4020.0,2130.6,Wreaths,Rochester Ltd,201.0,3819.0,1688.4
SO - 0004527,In-Store,2019-12-02,USD,3,0.2,187.6,129.444,Wreaths,Rochester Ltd,37.52,450.23999999999995,61.90799999999996
SO - 0004753,Wholesale,2020-01-08,USD,7,0.05,6170.7,3270.471,Stemware,Rochester Ltd,308.535,41035.155,18141.858
SO - 0001624,In-Store,2018-12-22,USD,2,0.3,1139.0,968.15,Accessories,Rochester Ltd,341.7,1594.6,-341.70000000000005
SO - 0002744,Online,2019-04-26,USD,3,0.05,2753.7000000000003,1349.313,Accessories,Rochester Ltd,137.68500000000003,7848.045000000001,3800.1060000000007
SO - 0006268,Online,2020-06-27,USD,4,0.075,1025.1,656.0640000000001,Accessories,Rochester Ltd,76.8825,3792.87,1168.6139999999996
SO - 0007769,Online,2020-12-22,USD,7,0.2,6371.7,3249.567,Accessories,Rochester Ltd,1274.3400000000001,35681.52,12934.550999999996
SO - 0007941,Online,2021-01-11,USD,5,0.075,6070.2,4249.139999999999,Accessories,Rochester Ltd,455.265,28074.674999999996,6828.9749999999985
